column,dataset,id,name,transformation,,
79,bbe,IPS11,"INDUSTRIAL PRODUCTION INDEX - PRODUCTS, TOTAL",5,,
84,bbe,IPS299,INDUSTRIAL PRODUCTION INDEX - FINAL PRODUCTS,5,,
80,bbe,IPS12,INDUSTRIAL PRODUCTION INDEX - CONSUMER GOODS,5,,
81,bbe,IPS13,INDUSTRIAL PRODUCTION INDEX - DURABLE CONSUMER GOODS,5,,
82,bbe,IPS18,INDUSTRIAL PRODUCTION INDEX - NONDURABLE CONSUMER GOODS,5,,
83,bbe,IPS25,INDUSTRIAL PRODUCTION INDEX - BUSINESS EQUIPMENT,5,,
87,bbe,IPS32,INDUSTRIAL PRODUCTION INDEX - MATERIALS,5,,
88,bbe,IPS34,INDUSTRIAL PRODUCTION INDEX - DURABLE GOODS MATERIALS,5,,
89,bbe,IPS38,INDUSTRIAL PRODUCTION INDEX - NONDURABLE GOODS MATERIALS,5,,
90,bbe,IPS43,INDUSTRIAL PRODUCTION INDEX - MANUFACTURING (SIC),5,,
91,bbe,IPS67e,INDUSTRIAL PRODUCTION INDEX - MINING NAICS=21,5,,
92,bbe,IPS68e,INDUSTRIAL PRODUCTION INDEX - ELECTRIC AND GAS UTILITIES,5,,
78,bbe,IPS10,INDUSTRIAL PRODUCTION INDEX - TOTAL INDEX,5,,
60,bbe,PMI,PURCHASING MANAGERS' INDEX (SA),5,,
63,bbe,PMP,NAPM PRODUCTION INDEX (PERCENT),5,,
35,bbe,PYQ,"PERSONAL INCOME (CHAINED) (BIL2000$,SAAR)",5,,
36,bbe,MYXPQ,"PERSONAL INCOME LESS TRANSFER PAYMENTS (CHAINED)  (BIL 2000$,SAAR)",5,,
85,bbe,IPS307,INDUSTRIAL PRODUCTION INDEX - RESIDENTIAL UTILITIES,5,,
86,bbe,IPS316,INDUSTRIAL PRODUCTION INDEX - BASIC METALS,5,,
45,bbe,LHEL,INDEX OF HELP-WANTED ADVERTISING IN NEWSPAPERS (1967=100;SA),5,,
46,bbe,LHELX,EMPLOYMENT: RATIO; HELP-WANTED ADS:NO. UNEMPLOYED CLF,4,,
47,bbe,LHEM,"CIVILIAN LABOR FORCE: EMPLOYED, TOTAL (THOUS.,SA)",5,,
48,bbe,LHNAG,"CIVILIAN LABOR FORCE: EMPLOYED, NONAGRIC.INDUSTRIES (THOUS.,SA)",5,,
54,bbe,LHUR,"UNEMPLOYMENT RATE: ALL WORKERS, 16 YEARS & OVER (%,SA)",1,,
53,bbe,LHU680,UNEMPLOY.BY DURATION: AVERAGE(MEAN)DURATION IN WEEKS (SA),1,,
52,bbe,LHU5,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.LESS THAN 5 WKS (THOUS.,SA)",1,,
49,bbe,LHU14,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.5 TO 14 WKS (THOUS.,SA)",1,,
50,bbe,LHU15,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 WKS + (THOUS.,SA)",1,,
51,bbe,LHU26,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 TO 26 WKS (THOUS.,SA)",1,,
106,bbe,BLS_LPNAG,Total Nonfarm Employment - Seasonally Adjusted - CES0000000001 ,5,,
96,bbe,BLS_LP, Total Private Employment - Seasonally Adjusted - CES0500000001 ,5,,
101,bbe,BLS_LPGD, Goods-producing Employment - Seasonally Adjusted - CES0600000001 ,5,,
104,bbe,BLS_LPMI, Natural Resources and Mining Employment - Seasonally Adjusted - CES1000000001 ,5,,
97,bbe,BLS_LPCC, Construction Employment - Seasonally Adjusted - CES2000000001 ,5,,
99,bbe,BLS_LPEM, Manufacturing Employment - Seasonally Adjusted - CES3000000001 ,5,,
98,bbe,BLS_LPED, Durable Goods Manufacturing Employment - Seasonally Adjusted - CES3100000001 ,5,,
100,bbe,BLS_LPEN, Nondurable Goods Manufacturing Employment - Seasonally Adjusted - CES3200000001 ,5,,
109,bbe,BLS_Service-EMP, Service-providing Employment - Seasonally Adjusted - CES0700000001 ,5,,
110,bbe,BLS_Trade EMP," Trade, Transportation, and Utilities Employment - Seasonally Adjusted - CES4000000001 ",5,,
108,bbe,BLS_Retail- EMP, Retail Trade Employment - Seasonally Adjusted - CES4200000001 ,5,,
111,bbe,BLS_Wholesale- EMP, Wholesale Trade Employment - Seasonally Adjusted - CES4142000001 ,5,,
93,bbe,BLS_Financial-EMP, Financial Activities Employment - Seasonally Adjusted - CES5500000001 ,5,,
107,bbe,BLS_P-service EMP, Private Service-providing Employment - Seasonally Adjusted - CES0800000001 ,5,,
102,bbe,BLS_LPGOV, Government Employment - Seasonally Adjusted - CES9000000001 ,5,,
103,bbe,BLS_LPHRM, Manufacturing Average Weekly Hours of Production Workers - Seasonally Adjusted - CES3000000005 ,1,,
105,bbe,BLS_LPMOSA, Manufacturing Average Weekly Overtime of Production Workers - Seasonally Adjusted - CES3000000007 ,1,,
59,bbe,PMEMP,NAPM EMPLOYMENT INDEX (PERCENT),0,,
40,bbe,HSFR,"HOUSING STARTS:NONFARM(1947-58);TOTAL FARM&NONFARM(1959-)(THOUS.,SA",4,,
42,bbe,HSNE,HOUSING STARTS:NORTHEAST (THOUS.U.)S.A.,4,,
41,bbe,HSMW,HOUSING STARTS:MIDWEST(THOUS.U.)S.A.,4,,
43,bbe,HSSOU,HOUSING STARTS:SOUTH (THOUS.U.)S.A.,4,,
44,bbe,HSWST,HOUSING STARTS:WEST (THOUS.U.)S.A.,4,,
39,bbe,HSBR,"HOUSING AUTHORIZED: TOTAL NEW PRIV HOUSING UNITS (THOUS.,SAAR)",4,,
38,bbe,HMOB,"MOBILE HOMES: MANUFACTURERS' SHIPMENTS (THOUS.OF UNITS,SAAR)",4,,
62,bbe,PMNV,NAPM INVENTORIES INDEX (PERCENT),1,,
61,bbe,PMNO,NAPM NEW ORDERS INDEX (PERCENT),1,,
58,bbe,PMDEL,NAPM VENDOR DELIVERIES INDEX (PERCENT),1,,
55,bbe,MOCMQ,"NEW ORDERS (NET) - CONSUMER GOODS & MATERIALS, 1996 DOLLARS (BCI)",5,,
56,bbe,MSONDQ,"NEW ORDERS, NONDEFENSE CAPITAL GOODS, IN 1996 DOLLARS (BCI)",5,,
17,bbe,FSPCOM,S&P'S COMMON STOCK PRICE INDEX: COMPOSITE (1941-43=10),5,,
18,bbe,FSPIN,S&P'S COMMON STOCK PRICE INDEX: INDUSTRIALS (1941-43=10),5,,
15,bbe,FSDXP,S&P'S COMPOSITE COMMON STOCK: DIVIDEND YIELD (% PER ANNUM),1,,
19,bbe,FSPXE,"S&P'S COMPOSITE COMMON STOCK: PRICE-EARNINGS RATIO (%,NSA)",1,,
16,bbe,FSDJ,COMMON STOCK PRICES: DOW JONES INDUSTRIAL AVERAGE,0,,
4,bbe,EXRSW,FOREIGN EXCHANGE RATE: SWITZERLAND (SWISS FRANC PER U.S.$),5,,
3,bbe,EXRJAN,FOREIGN EXCHANGE RATE: JAPAN (YEN PER U.S.$),5,,
5,bbe,EXRUK,FOREIGN EXCHANGE RATE: UNITED KINGDOM (CENTS PER POUND),5,,
2,bbe,EXRCAN,FOREIGN EXCHANGE RATE: CANADA (CANADIAN $ PER U.S.$),5,,
22,bbe,FYFF,"INTEREST RATE: FEDERAL FUNDS (EFFECTIVE) (% PER ANNUM,NSA)",1,,
23,bbe,FYGM3,"INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,3-MO.(% PER ANN,NSA)",1,,
24,bbe,FYGM6,"INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,6-MO.(% PER ANN,NSA)",1,,
25,bbe,FYGT1,"INTEREST RATE: U.S.TREASURY CONST MATURITIES,1-YR.(% PER ANN,NSA)",1,,
27,bbe,FYGT5,"INTEREST RATE: U.S.TREASURY CONST MATURITIES,5-YR.(% PER ANN,NSA)",1,,
26,bbe,FYGT10,"INTEREST RATE: U.S.TREASURY CONST MATURITIES,10-YR.(% PER ANN,NSA)",1,,
20,bbe,FYAAAC,BOND YIELD: MOODY'S AAA CORPORATE (% PER ANNUM),1,,
21,bbe,FYBAAC,BOND YIELD: MOODY'S BAA CORPORATE (% PER ANNUM),1,,
28,bbe,SFYGM3,Spread FYGM3 - FYFF,1,,
29,bbe,SFYGM6,Spread FYGM6 - FYFF,1,,
30,bbe,SFYGT1,Spread FYGT1 - FYFF,1,,
32,bbe,SFYGT5,Spread FYGT5 - FYFF,1,,
31,bbe,SFYGT10,Spread FYGT10 - FYFF,1,,
33,bbe,SFYAAAC,Spread FYAAAC - FYFF,1,,
34,bbe,SFYBAAC,Spread FYBAAC - FYFF,1,,
8,bbe,FM1,"MONEY STOCK: M1(CURR,TRAV.CKS,DEM DEP,OTHER CK'ABLE DEP)(BIL$,SA)",5,,
9,bbe,FM2,"MONEY STOCK:M2(M1+O'NITE RPS,EURO$,G/P&B/D MMMFS&SAV&SM TIME DEP(BIL$,",5,,
11,bbe,FM3,"MONEY STOCK: M3(M2+LG TIME DEP,TERM RP'S&INST ONLY MMMFS)(BIL$,SA)",5,,
10,bbe,FM2DQ,MONEY SUPPLY - M2 IN 1996 DOLLARS (BCI),5,,
12,bbe,FMFBA,"MONETARY BASE, ADJ FOR RESERVE REQUIREMENT CHANGES(MIL$,SA)",5,,
14,bbe,FMRRA,"DEPOSITORY INST RESERVES:TOTAL,ADJ FOR RESERVE REQ CHGS(MIL$,SA)",5,,
13,bbe,FMRNBA,"DEPOSITORY INST RESERVES:NONBORROWED,ADJ RES REQ CHGS(MIL$,SA)",5,,
6,bbe,FCLBMC,"WKLY RP LG COM'L BANKS:NET CHANGE COM'L & INDUS LOANS(BIL$,SAAR)",1,,
1,bbe,CCINRV,CONSUMER CREDIT OUTSTANDING - NONREVOLVING(G19),5,,
7,bbe,IMFCLNQ,COMMERCIAL & INDUSTRIAL LOANS OUSTANDING IN 1996 DOLLARS ,5,,
57,bbe,PMCP,NAPM COMMODITY PRICES INDEX (PERCENT),1,,
76,bbe,PWFSA,"PRODUCER PRICE INDEX: FINISHED GOODS (82=100,SA)",5,,
75,bbe,PWFCSA,"PRODUCER PRICE INDEX:FINISHED CONSUMER GOODS (82=100,SA)",5,,
77,bbe,PWIMSA,"PRODUCER PRICE INDEX:INTERMED MAT.SUPPLIES & COMPONENTS(82=100,SA)",5,,
74,bbe,PWCMSA,"PRODUCER PRICE INDEX:CRUDE MATERIALS (82=100,SA)",5,,
70,bbe,PUNEW,"CPI-U: ALL ITEMS (82-84=100,SA)",5,,
65,bbe,PU83,"CPI-U: APPAREL & UPKEEP (82-84=100,SA)",5,,
66,bbe,PU84,"CPI-U: TRANSPORTATION (82-84=100,SA)",5,,
67,bbe,PU85,"CPI-U: MEDICAL CARE (82-84=100,SA)",5,,
68,bbe,PUC,"CPI-U: COMMODITIES (82-84=100,SA)",5,,
69,bbe,PUCD,"CPI-U: DURABLES (82-84=100,SA)",5,,
71,bbe,PUXF,"CPI-U: ALL ITEMS LESS FOOD (82-84=100,SA)",5,,
72,bbe,PUXHS,"CPI-U: ALL ITEMS LESS SHELTER (82-84=100,SA)",5,,
73,bbe,PUXM,"CPI-U: ALL ITEMS LESS MIDICAL CARE (82-84=100,SA)",5,,
64,bbe,PSCCOM,SPOT MARKET PRICE INDEX:BLS & CRB: ALL COMMODITIES(1967=100),5,,
94,bbe,BLS_LEHCC, Construction Average Hourly Earnings of Production Workers - Seasonally Adjusted - CES2000000006 ,5,,
95,bbe,BLS_LEHM, Manufacturing Average Hourly Earnings of Production Workers - Seasonally Adjusted - CES3000000006 ,5,,
37,bbe,HHSNTN,U. OF MICH. INDEX OF CONSUMER EXPECTATIONS(BCD-83),1,,
500,ppi,311119, Other animal food manufacturing,5,,
501,ppi,311119p, Other animal food manufacturing (primary products),5,,
502,ppi,311211, Flour Milling,5,,
503,ppi,311212, Rice milling,5,,
504,ppi,311213, Malt mfg,5,,
505,ppi,311223a, Other oilseed processing (Cottonseed cake and meal and other byproducts),5,,
506,ppi,311225p, Fats and oils refining and blending (Primary products),5,,
507,ppi,311311, Sugarcane mills,5,,
508,ppi,311313, Beet sugar manufacturing,5,,
509,ppi,311412, Frozen specialty food manufacturing,5,,
510,ppi,311520, Ice cream and frozen dessert mfg,5,,
511,ppi,311920, Coffee and tea manufacturing,5,,
512,ppi,312140, Distilleries,5,,
513,ppi,32211-, Pulp mills,5,,
514,ppi,32213-, Paperboard mills,5,,
515,ppi,325620p, Toilet preparation mfg (Primary products),5,,
516,ppi,325920, Explosives manufacturing,5,,
517,ppi,32731-, Cement mfg,5,,
518,ppi,327320, Ready mixed concrete mfg and dist,5,,
519,ppi,327410, Lime,5,,
520,ppi,327420, Gypsum building products manufacturing,5,,
